Deployment Name,Transferred To Store Name,From Store Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Amount,Source
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-01-13,TRF-01-OUT001-OUT002-001,ING002,Milk,Dairy,Raw Material,,12.0,litre,72.0,864.0,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-01-13,TRF-01-OUT001-OUT002-002,ING036,Cold Cup,Packaging,Consumable,,140.0,pcs,3.2,448.0,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Saket Premium Main Store,inventory.lead,2026-01-13,TRF-01-OUT003-OUT002-003,ING013,Brownie Base,Dessert Inputs,Raw Material,,18.0,pcs,34.0,612.0,
ABNAH Cafe Saket Premium,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-01-13,TRF-01-OUT001-OUT003-004,ING001,Coffee Beans,Coffee Inputs,Raw Material,,3.0,kg,980.0,2940.0,
ABNAH Cafe Connaught Place,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Hauz Khas Main Store,inventory.lead,2026-01-13,TRF-01-OUT002-OUT001-005,ING043,Wrap Packaging,Packaging,Consumable,,35.0,pcs,5.8,203.0,
ABNAH Cafe Connaught Place,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Saket Premium Main Store,inventory.lead,2026-01-13,TRF-01-OUT003-OUT001-006,ING004,Cream,Dairy,Raw Material,,5.0,litre,210.0,1050.0,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-02-14,TRF-02-OUT001-OUT002-001,ING002,Milk,Dairy,Raw Material,,12.96,litre,73.44,951.78,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-02-14,TRF-02-OUT001-OUT002-002,ING036,Cold Cup,Packaging,Consumable,,151.2,pcs,3.22,486.86,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Saket Premium Main Store,inventory.lead,2026-02-14,TRF-02-OUT003-OUT002-003,ING013,Brownie Base,Dessert Inputs,Raw Material,,19.44,pcs,34.34,667.57,
ABNAH Cafe Saket Premium,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-02-14,TRF-02-OUT001-OUT003-004,ING001,Coffee Beans,Coffee Inputs,Raw Material,,3.24,kg,994.7,3222.83,
ABNAH Cafe Connaught Place,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Hauz Khas Main Store,inventory.lead,2026-02-14,TRF-02-OUT002-OUT001-005,ING043,Wrap Packaging,Packaging,Consumable,,37.8,pcs,5.83,220.37,
ABNAH Cafe Connaught Place,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Saket Premium Main Store,inventory.lead,2026-02-14,TRF-02-OUT003-OUT001-006,ING004,Cream,Dairy,Raw Material,,5.4,litre,214.2,1156.68,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-03-15,TRF-03-OUT001-OUT002-001,ING002,Milk,Dairy,Raw Material,,13.92,litre,75.24,1047.34,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-03-15,TRF-03-OUT001-OUT002-002,ING036,Cold Cup,Packaging,Consumable,,162.4,pcs,3.25,527.8,
ABNAH Cafe Hauz Khas,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Saket Premium Main Store,inventory.lead,2026-03-15,TRF-03-OUT003-OUT002-003,ING013,Brownie Base,Dessert Inputs,Raw Material,,20.88,pcs,34.68,724.12,
ABNAH Cafe Saket Premium,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Connaught Place Main Store,inventory.lead,2026-03-15,TRF-03-OUT001-OUT003-004,ING001,Coffee Beans,Coffee Inputs,Raw Material,,3.48,kg,1009.4,3512.71,
ABNAH Cafe Connaught Place,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Hauz Khas Main Store,inventory.lead,2026-03-15,TRF-03-OUT002-OUT001-005,ING043,Wrap Packaging,Packaging,Consumable,,40.6,pcs,5.89,239.13,
ABNAH Cafe Connaught Place,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Saket Premium Main Store,inventory.lead,2026-03-15,TRF-03-OUT003-OUT001-006,ING004,Cream,Dairy,Raw Material,,5.8,litre,219.45,1272.81,
