row_id,competitor_id,competitor_name,market_area,competitor_category,competitor_item_name,competitor_price,abnah_item_number,abnah_item_name,abnah_price,price_difference,price_index,price_position,expected_sales_impact,notes
CROW00001,COMP0001,Chaayos CP,Connaught Place,Baked Goods,Almond Croissant,230.0,MENU0095,Almond Croissant,245.0,15.0,1.065,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00002,COMP0002,Starbucks CP,Connaught Place,Baked Goods,Butter Croissant,205.0,MENU0094,Butter Croissant,195.0,-10.0,0.951,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00003,COMP0003,Blue Tokai CP,Connaught Place,Baked Goods,Chocolate Croissant,245.0,MENU0096,Chocolate Croissant,235.0,-10.0,0.959,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00004,COMP0004,Starbucks CP,Connaught Place,Baked Goods,Mushroom Cheese Croissant,245.0,MENU0097,Mushroom Cheese Croissant,255.0,10.0,1.041,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00005,COMP0005,Blue Tokai CP,Connaught Place,Baked Goods,Sriracha Chicken Croissant,280.0,MENU0098,Sriracha Chicken Croissant,275.0,-5.0,0.982,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00006,COMP0006,Chaayos CP,Connaught Place,Coffee Classics,Americano Medium,205.0,MENU0004,Americano - Medium,210.0,5.0,1.024,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00007,COMP0007,Blue Tokai CP,Connaught Place,Coffee Classics,Americano Regular,180.0,MENU0003,Americano - Regular,185.0,5.0,1.028,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00008,COMP0008,Blue Tokai CP,Connaught Place,Coffee Classics,Cappuccino Medium,240.0,MENU0010,Cappuccino - Medium,250.0,10.0,1.042,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00009,COMP0009,Chaayos CP,Connaught Place,Coffee Classics,Cappuccino Regular,230.0,MENU0009,Cappuccino - Regular,225.0,-5.0,0.978,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00010,COMP0010,Chaayos CP,Connaught Place,Coffee Classics,Flat White Medium,250.0,MENU0013,Flat White - Medium,260.0,10.0,1.04,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00011,COMP0011,Blue Tokai CP,Connaught Place,Coffee Classics,Flat White Regular,230.0,MENU0012,Flat White - Regular,235.0,5.0,1.022,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00012,COMP0012,Chaayos CP,Connaught Place,Coffee Classics,Latte Medium,225.0,MENU0007,Latte - Medium,250.0,25.0,1.111,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00013,COMP0013,Local Brew Bar CP,Connaught Place,Coffee Classics,Latte Regular,235.0,MENU0006,Latte - Regular,225.0,-10.0,0.957,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00014,COMP0014,Starbucks CP,Connaught Place,Coffee Classics,Mocha Medium,270.0,MENU0016,Mocha - Medium,270.0,0.0,1.0,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00015,COMP0015,Blue Tokai CP,Connaught Place,Coffee Classics,Mocha Regular,225.0,MENU0015,Mocha - Regular,245.0,20.0,1.089,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00016,COMP0016,Blue Tokai CP,Connaught Place,Cold Brew,Classic Cold Brew Medium,260.0,MENU0034,Classic Cold Brew - Medium,250.0,-10.0,0.962,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00017,COMP0017,Chaayos CP,Connaught Place,Cold Brew,Classic Cold Brew Regular,210.0,MENU0033,Classic Cold Brew - Regular,225.0,15.0,1.071,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00018,COMP0018,Local Brew Bar CP,Connaught Place,Cold Brew,Coffee Lemonade Medium,240.0,MENU0037,Coffee Lemonade - Medium,260.0,20.0,1.083,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00019,COMP0019,Starbucks CP,Connaught Place,Cold Brew,Coffee Lemonade Regular,225.0,MENU0036,Coffee Lemonade - Regular,235.0,10.0,1.044,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
