build_order,layer,query_table_name,logical_model_name,dependency_level,purpose,sources,sql_file
1,standardized,01_std_ct_sales_item.sql,STD_CT_Sales_Item,1,"Standardize bill-item sales, realized revenue and source-reported margin fields.",RAWN_CT_gross_net_margin-Copy,01_std_ct_sales_item.sql
2,standardized,02_std_ct_recipe.sql,STD_CT_Recipe,1,Standardize menu-item-to-ingredient recipe quantities.,RAWN_CT_item_recipe_report-Copy,02_std_ct_recipe.sql
3,standardized,03_std_ct_theoretical_consumption.sql,STD_CT_Theoretical_Consumption,1,Standardize the synthetic theoretical ingredient baseline at outlet-item-month grain.,AUX_Theoretical_Consumption-Copy,03_std_ct_theoretical_consumption.sql
4,standardized,04_std_ct_inventory_period.sql,STD_CT_Inventory_Period,1,"Standardize month-end inventory, actual consumption and source variance measures.",RAWN_CT_enterprise_variance_normal-Copy,04_std_ct_inventory_period.sql
5,standardized,05_std_ct_inventory_snapshot.sql,STD_CT_Inventory_Snapshot,1,Standardize closing stock quantity and value checkpoints.,RAWN_CT_closing_stock-Copy,05_std_ct_inventory_snapshot.sql
6,standardized,06_std_ct_inventory_movement.sql,STD_CT_Inventory_Movement,1,Unify internal transfers and wastage into signed inventory movements.,RAWN_CT_enterprise_transfer_from-Copy;RAWN_CT_enterprise_transfer_to-Copy;RAWN_CT_enterprise_wastage_normal-Copy,06_std_ct_inventory_movement.sql
7,standardized,07_std_ct_purchase_order.sql,STD_CT_Purchase_Order,1,Standardize purchase-order lines and normalized open/closed status.,RAWN_CT_enterprise_purchase_order-Copy,07_std_ct_purchase_order.sql
8,standardized,08_std_ct_purchase_receipt.sql,STD_CT_Purchase_Receipt,1,Standardize PO-linked GRN/entry lines.,RAWN_CT_enterprise_entry-Copy,08_std_ct_purchase_receipt.sql
9,standardized,09_std_ct_wastage.sql,STD_CT_Wastage,1,Standardize inventory wastage transactions.,RAWN_CT_enterprise_wastage_normal-Copy,09_std_ct_wastage.sql
10,standardized,10_std_ct_vendor_report.sql,STD_CT_Vendor_Report,1,Standardize the exact historical Vendor Report after local structural cleaning.,RAWN_CT_vendor_report-Copy,10_std_ct_vendor_report.sql
11,standardized,11_std_ct_menu_forecast.sql,STD_CT_Menu_Forecast,1,Standardize seven-day menu demand forecasts.,AUX_Menu_Demand_Forecast-Copy,11_std_ct_menu_forecast.sql
12,dimension,12_dim_ct_date.sql,DIM_CT_Date,2,Create the sales-date calendar used by the three-month baseline.,01_std_ct_sales_item.sql,12_dim_ct_date.sql
13,dimension,13_dim_ct_outlet.sql,DIM_CT_Outlet,1,Create the outlet identity dimension from the captured stock source.,RAWN_CT_closing_stock-Copy,13_dim_ct_outlet.sql
14,dimension,14_dim_ct_item.sql,DIM_CT_Item,1,"Create the item identity, category, UOM and cost reference from Closing Stock.",RAWN_CT_closing_stock-Copy,14_dim_ct_item.sql
15,dimension,15_dim_ct_menu_item.sql,DIM_CT_Menu_Item,2,Create the canonical menu-item dimension from validated sales.,01_std_ct_sales_item.sql,15_dim_ct_menu_item.sql
