report_id,display_name,contract_file,evidence_status,populated_rows_seen,primary_use,next_action
historical.vendor_report.master,Vendor Report,vendor_report.json,historical_abnah_export_quality_gated,,vendor_identity_validity_compliance_state_address,run_local_structural_cleaner_before_every_import
p4.enterprise_consumption.detail,Enterprise Consumption Report - detail,enterprise_consumption_detail.json,populated_uat_validated,802,inventory_consumption_closing_value,export_separate_monthly_files
p4.enterprise_purchase_order.item,Enterprise Purchase Order Report - item detail,enterprise_purchase_order.json,populated_uat_validated,113,po_pipeline_delay_fill_rate_liability,retain_current_populated_all_status_file
p4.enterprise_reorder.item,Enterprise Stock Re-Order,enterprise_reorder.json,unavailable_header_only,0,reorder_threshold_and_available_stock,do_not_request_current_tenant
p4.enterprise_stock_return.item,Enterprise Stock Return,enterprise_stock_return.json,unavailable_header_only,0,vendor_return_rate_and_leakage,do_not_request_current_tenant
p4.enterprise_variance.master,Enterprise Variance Report - master,enterprise_variance_master.json,populated_uat_validated,426,store_item_physical_variance,export_separate_month_end_files
p4.enterprise_variance.normal,Enterprise Variance Report - normal,enterprise_variance_normal.json,populated_uat_validated_with_unlabelled_pair,431,enterprise_item_variance_ranking,export_separate_month_end_files
p4.enterprise_wastage.normal,Enterprise Wastage Report - normal item detail,enterprise_wastage_normal.json,ui_schema_captured,0,item_wastage_and_consumption_denominator,export_one_populated_normal_mode_file
p2.gross_net_margin.item,Gross/Net Margin Report - bill item detail,gross_net_margin.json,ui_schema_captured,0,item_sales_cost_and_margin,export_one_populated_item_detail_file
p1.item_recipe.detail,Item Recipe Report,item_recipe_report.json,p1_visual_schema_reviewed,0,menu_item_to_ingredient_bridge,export_one_full_active_recipe_snapshot
p4.purchase_detail.po_enabled,Purchase Detail - PO details enabled,purchase_detail.json,ui_schema_captured,0,grn_purchase_vendor_price_and_po_link,export_one_populated_po_details_file
p4.stock_in_stock_out.item,Stock In Stock Out Report - movement detail,stock_in_stock_out.json,ui_schema_captured,0,stock_transfer_and_movement_detail,export_one_populated_both_directions_file
