file,query_table,layer,sources,purpose,has_date_field,dashboard_filter_note
01_std_sales_report.sql,STD_Sales_Report,STD,"RAW_Sales_Report_OUT001, RAW_Sales_Report_OUT002, RAW_Sales_Report_OUT003",Union outlet-specific RAW sales feeds into a stable daily outlet-item sales grain.,Yes,Date-safe for matching date field filters.
02_std_purchase_report.sql,STD_Purchase_Report,STD,"RAW_Purchase_Report_OUT001, RAW_Purchase_Report_OUT002, RAW_Purchase_Report_OUT003",Union outlet-specific RAW purchase feeds into standardized purchase order line rows.,Yes,Date-safe for matching date field filters.
03_std_entry_report.sql,STD_Entry_Report,STD,"RAW_Entry_Report_OUT001, RAW_Entry_Report_OUT002, RAW_Entry_Report_OUT003",Union outlet-specific RAW entry feeds into standardized receipt/GRN-style rows.,Yes,Date-safe for matching date field filters.
04_std_inventory_closing_report.sql,STD_Inventory_Closing_Report,STD,"RAW_Inventory_Closing_Report_OUT001, RAW_Inventory_Closing_Report_OUT002, RAW_Inventory_Closing_Report_OUT003",Union outlet-specific RAW inventory feeds into standardized daily outlet-item closing inventory rows.,Yes,Date-safe for matching date field filters.
05_std_menu_master.sql,STD_Menu_Master,STD,,Standardize the menu item master for joins and dashboard filters.,No,No date grain; do not expect dashboard Date Range to change this table.
06_std_vendor_report.sql,STD_Vendor_Report,STD,,Standardize vendor master data.,No,No date grain; do not expect dashboard Date Range to change this table.
07_std_recipe_bom.sql,STD_Recipe_BOM,STD,,Normalize the ABNAH-style recipe block export into one fully identified row per ingredient.,No,No date grain; do not expect dashboard Date Range to change this table.
08_std_holiday_calendar.sql,STD_Holiday_Calendar,STD,,Standardize configured Indian holiday/calendar rows.,No,No date grain; do not expect dashboard Date Range to change this table.
09_std_manual_events.sql,STD_Manual_Events,STD,,Standardize manual/admin event rows used for spike explanation and annotations.,Yes,Date-safe for matching date field filters.
10_std_competitor_pricing.sql,STD_Competitor_Pricing,STD,,Standardize competitor price context mapped to ABNAH menu items.,No,No date grain; do not expect dashboard Date Range to change this table.
11_dim_date.sql,DIM_Date,DIM,"STD_Sales_Report, STD_Purchase_Report, STD_Entry_Report, STD_Inventory_Closing_Report,",Reusable date dimension built from all date-bearing standardized tables.,Yes,Date-safe for matching date field filters.
12_dim_outlet.sql,DIM_Outlet,DIM,,Reusable outlet dimension for dashboard filters and fact joins.,No,No date grain; do not expect dashboard Date Range to change this table.
13_dim_menu_item.sql,DIM_Menu_Item,DIM,"STD_Menu_Master, STD_Sales_Report",Reusable menu item dimension from menu master plus any sold items not found in the master.,No,No date grain; do not expect dashboard Date Range to change this table.
14_dim_vendor.sql,DIM_Vendor,DIM,"STD_Vendor_Report, STD_Purchase_Report, STD_Entry_Report",Reusable vendor dimension from vendor master plus purchase/entry vendor names.,No,No date grain; do not expect dashboard Date Range to change this table.
15_dim_ingredient.sql,DIM_Ingredient,DIM,"STD_Inventory_Closing_Report, STD_Purchase_Report, STD_Entry_Report, STD_Recipe_BOM","Reusable material/ingredient dimension across inventory, procurement, receipts, and recipe BOM.",No,No date grain; do not expect dashboard Date Range to change this table.
