Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Source
ABNAH Cafe Connaught Place,Main Store,ops.saket,2026-01-04,BRT-OUT001-260104-0001,ING002,Milk,Dairy,Raw Material,,4.0305,litre,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,2026-01-10,BRT-OUT002-260110-0032,ING026,Banana,Produce,Raw Material,,1.702,kg,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-15,BRT-OUT002-260115-0063,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,,0.764,kg,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-21,BRT-OUT001-260121-0094,ING031,Tomato,Produce,Raw Material,,0.9408,kg,
ABNAH Cafe Saket Premium,Main Store,store.manager,2026-01-24,BRT-OUT003-260124-0125,ING038,Lid,Packaging,Consumable,,20.2145,pcs,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,2026-01-27,BRT-OUT002-260127-0156,ING010,Bagel,Bakery,Raw Material,,6.0,pcs,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-02-03,BRT-OUT001-260203-0187,ING037,Hot Cup,Packaging,Consumable,,42.125,pcs,
ABNAH Cafe Saket Premium,Main Store,ops.cp,2026-02-04,BRT-OUT003-260204-0218,ING020,Tea Leaves,Tea Inputs,Raw Material,,0.4988,kg,
ABNAH Cafe Hauz Khas,Main Store,store.manager,2026-02-10,BRT-OUT002-260210-0249,ING041,Dessert Box,Packaging,Consumable,,11.125,pcs,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,2026-02-16,BRT-OUT002-260216-0280,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,,1.7265,litre,
ABNAH Cafe Saket Premium,Main Store,ops.saket,2026-02-21,BRT-OUT003-260221-0311,ING038,Lid,Packaging,Consumable,,43.0,pcs,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,2026-02-28,BRT-OUT002-260228-0342,ING038,Lid,Packaging,Consumable,,19.8595,pcs,
ABNAH Cafe Connaught Place,Main Store,ops.cp,2026-03-04,BRT-OUT001-260304-0373,ING036,Cold Cup,Packaging,Consumable,,35.875,pcs,
ABNAH Cafe Connaught Place,Main Store,ops.cp,2026-03-10,BRT-OUT001-260310-0404,ING008,Egg,Protein,Raw Material,,12.625,pcs,
ABNAH Cafe Saket Premium,Main Store,ops.cp,2026-03-11,BRT-OUT003-260311-0435,ING006,Cheese,Dairy,Raw Material,,0.2858,kg,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-16,BRT-OUT001-260316-0466,ING039,Straw,Packaging,Consumable,,19.375,pcs,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-22,BRT-OUT001-260322-0497,ING009,Bread,Bakery,Raw Material,,12.5,pcs,
ABNAH Cafe Connaught Place,Main Store,ops.cp,2026-03-28,BRT-OUT001-260328-0528,ING001,Coffee Beans,Coffee Inputs,Raw Material,,0.3543,kg,
ABNAH Cafe Hauz Khas,Main Store,store.manager,2026-03-31,BRT-OUT002-260331-0559,ING040,Napkin,Packaging,Consumable,,42.25,pcs,
