mapping_id,api_endpoint_or_mode,restroworks_grain,important_fields_seen,current_or_candidate_model_target,priority,fit_status,open_questions
RW_MAP_001,GET /api/v1/pos/fetch_Inventory_data entity=transaction transactionType=stock_entry,inventory transaction item line,"storeKitchen,storeCode,deployment,vendor.vendorCode,vendor.vendorName,invoiceNumber,invoiceDate,transactionDate,items.itemCode,items.itemName,items.quantity,items.baseQuantity,items.unit.conversionFactor,items.category,subTotal,totalTax",FACT_Entry_Receipt or candidate FACT_Inventory_Movement,P0,strong,"Confirm whether stock_entry equals GRN/receipt for ABNAH and whether PO number is always present."
RW_MAP_002,GET /api/v1/pos/fetch_Inventory_data entity=po,purchase order line/header,"poNumber,expectedDelivery,receiveDate,vendor,items.itemCode,items.quantity,items.baseQty,items.unit,subtotal,receiveSubtotal,state",FACT_Purchase_Order and FACT_PO_Receipt_Comparison,P0,strong,"Confirm if entity=po includes full PO status lifecycle and PO-to-GRN linkage."
RW_MAP_003,GET /api/v1/pos/fetch_Inventory_data transactionType=physical_stock,physical count or stock snapshot item line,"deployment,storeCode,transactionDate,items.itemCode,items.quantity,items.baseQuantity,items.unit,items.category",FACT_Inventory_Closing or candidate FACT_Physical_Stock_Count,P0,strong,"Confirm whether this can replace or validate daily closing stock."
RW_MAP_004,GET /api/v1/pos/fetch_Inventory_data transactionType=wastage_entry,wastage transaction item line,"deployment,storeCode,transactionDate,items.itemCode,items.quantity,items.baseQuantity,items.unit,items.category,user",candidate FACT_Inventory_Wastage and SUM_Inventory_Risk,P0,strong,"Confirm reason/comment fields and whether wastage has approval/status fields."
RW_MAP_005,GET /api/v1/pos/fetch_Inventory_data transactionType=vendor_return,vendor return transaction item line,"vendor.vendorCode,vendor.vendorName,items.itemCode,items.quantity,items.baseQuantity,transactionDate,invoiceNumber",candidate FACT_Vendor_Return or FACT_Inventory_Movement,P0,strong,"Confirm whether returns include rejection/QC reason and original GRN/PO reference."
RW_MAP_006,GET /api/v1/pos/fetch_Inventory_data transactionType=stock_opening,opening stock item line,"deployment,storeCode,transactionDate,items.itemCode,items.quantity,items.baseQuantity,items.unit",FACT_Inventory_Closing support table or FACT_Inventory_Movement,P0,medium,"Confirm one-time opening vs periodic reset behavior."
RW_MAP_007,GET /api/v1/pos/fetch_Inventory_data transactionType=stock_sale,stock outflow item line,"deployment,storeCode,transactionDate,items.itemCode,items.quantity,items.baseQuantity,items.unit",candidate FACT_Actual_Consumption or FACT_Inventory_Movement,P0,needs validation,"Confirm whether stock_sale represents raw-material consumption, internal sale, or another inventory movement type."
RW_MAP_008,GET /api/v1/pos/get_indents,indent item line between supplier and receiver stores,"deploymentName,indentNumber,status,supplierStoreCode,receiverStoreCode,supplierName,receiverName,supplyDate,items.itemCode,items.itemName,items.supplyQty,items.unit,items.price,items.supplySubtotal",candidate FACT_Indent or FACT_Interstore_Transfer_Request,P0,strong,"Confirm whether receiving quantities and partial status are returned for receiver view."
RW_MAP_009,GET /api/v1/pos/bills,bill/KOT item line,"billNumber,_closeTime,tab,tabType,_kots.items.name,_kots.items.number,_kots.items.quantity,_kots.items.rate,_kots.items.category,aggregation.totalAmount,aggregation.totalTax,payments,discounts",FACT_Sales and candidate FACT_Bill_Item_Line,P1,strong,"Need item id/code consistency with recipe/BOM item mapping."
RW_MAP_010,GET /api/v1/pos/get_all_invoices,invoice/day sales summary,"InvoiceNumber,ReportedOn,NetSales,TotalTax,GrossSales,Discount,ReturnValue",SUM_Sales_Validation or FACT_Invoice_Summary,P1,medium,"Useful for reconciliation but not enough for item-level consumption."
RW_MAP_011,GET /api/v1/online_order/menu or standard menu,menu item/category/entity,"item/category ids,names,prices,taxes,variants,addons,activeStatus,inStock,shelfLife,nutrition,allergens",DIM_Menu_Item and DIM_Menu_Category,P1,strong,"Confirm which menu API version ABNAH uses and whether menu item ids match bill item ids."
RW_MAP_012,GET /api/v1/online_order/out_of_stock_items*,menu item availability state,"item_id or baseItem_id,type,status",candidate FACT_Menu_Availability or stockout context feature,P1,medium,"Treat as online availability signal, not inventory truth."
