report_name,report_stem,report_id,contract_status,grain,row_count,file_count,exact_schema_file,zoho_import_file,active_v2_import,active_v2_role
Vendor Report,vendor_report,historical.vendor_report.master,validated_historical_abnah_contract,one row per vendor master record,70,1,RAW_CT_vendor_report.csv,normalized/RAWN_CT_vendor_report.csv,yes,qualified_master_source
Closing Stock Report,closing_stock,p4.closing_stock.item,validated_uat_csv_contract,"one row per deployment, generation date and inventory item",387,9,RAW_CT_closing_stock.csv,normalized/RAWN_CT_closing_stock.csv,yes,operational_source
Enterprise Entry Report - Stock Entry,enterprise_entry,p4.enterprise_entry.item,validated_uat_csv_contract,one row per stock-entry item or document-level charge,585,9,RAW_CT_enterprise_entry.csv,normalized/RAWN_CT_enterprise_entry.csv,yes,operational_source
Enterprise Purchase Order Report - item detail,enterprise_purchase_order,p4.enterprise_purchase_order.item,validated_uat_csv_contract,one row per purchase order and item,638,9,RAW_CT_enterprise_purchase_order.csv,normalized/RAWN_CT_enterprise_purchase_order.csv,yes,operational_source
Enterprise Transfer Report - Transfer From,enterprise_transfer_from,p4.enterprise_transfer.from_item,validated_uat_csv_contract,one row per supplier-to-receiver transfer transaction and item,18,9,RAW_CT_enterprise_transfer_from.csv,normalized/RAWN_CT_enterprise_transfer_from.csv,yes,operational_source
Enterprise Transfer Report - Transfer To,enterprise_transfer_to,p4.enterprise_transfer.to_item,validated_uat_csv_contract,one row per destination-side transfer transaction and item,18,9,RAW_CT_enterprise_transfer_to.csv,normalized/RAWN_CT_enterprise_transfer_to.csv,yes,operational_source
Enterprise Variance Report - normal detailed CSV,enterprise_variance_normal,p4.enterprise_variance.normal,validated_uat_csv_contract,"one row per deployment, store/kitchen and item over the selected variance period",387,9,RAW_CT_enterprise_variance_normal.csv,normalized/RAWN_CT_enterprise_variance_normal.csv,yes,operational_source
Enterprise Wastage Report - transaction detail,enterprise_wastage_normal,p4.enterprise_wastage.normal,validated_uat_csv_contract,"one row per deployment, store/kitchen, wastage transaction and item",108,9,RAW_CT_enterprise_wastage_normal.csv,normalized/RAWN_CT_enterprise_wastage_normal.csv,yes,operational_source
Gross/Net Margin Report - bill item detail,gross_net_margin,p2.gross_net_margin.item,validated_uat_csv_contract,one row per bill and sold item,14576,9,RAW_CT_gross_net_margin.csv,normalized/RAWN_CT_gross_net_margin.csv,yes,operational_source
Item Recipe Report,item_recipe_report,p1.item_recipe.detail,validated_uat_csv_contract,"one normalized row per menu item and recipe ingredient, inherited from grouped parent rows",723,1,RAW_CT_item_recipe_report.csv,normalized/RAWN_CT_item_recipe_report.csv,yes,operational_source
AUX Outlet Master,aux_outlet_master,,synthetic_demo_reference,One synthetic reference row per demonstrator outlet,3,1,AUX_Outlet_Master.csv,AUX_Outlet_Master.csv,yes,demo_only_reference
AUX Menu Demand Forecast,aux_menu_demand_forecast,,approved_model_output,Model-defined; see the active import runbook,6923,1,AUX_Menu_Demand_Forecast.csv,AUX_Menu_Demand_Forecast.csv,yes,approved_model_output
AUX Theoretical Consumption,aux_theoretical_consumption,,approved_model_output,Model-defined; see the active import runbook,378,1,AUX_Theoretical_Consumption.csv,AUX_Theoretical_Consumption.csv,yes,approved_model_output
AUX Expiry Estimate,aux_expiry_estimate,,synthetic_demo_batch_scenario,"One synthetic near-expiry FIFO tranche per period, outlet, item and batch allocation",206,1,AUX_Expiry_Estimate.csv,AUX_Expiry_Estimate.csv,yes,demo_only_scenario
