row_id,event_id,event_name,event_type,start_date,end_date,outlet_scope,affected_outlets,affected_category,affected_items,expected_impact_pct,impact_direction,confidence_level,event_source,admin_status,notes
EROW00001,EVT001,Coffee Subscription Launch,Promotion,2026-01-15,2026-01-16,Selected outlets,ABNAH Cafe Connaught Place;ABNAH Cafe Saket Premium,Coffee Classics;Signature Coffee,Latte - Regular;Cappuccino - Regular;French Vanilla Latte - Regular,18,Up,Medium,Marketing calendar,Approved,Designed to create a visible Month 1 promotional coffee lift.
EROW00002,EVT002,Republic Day Leisure/Corporate Contrast,Holiday overlay,2026-01-26,2026-01-26,All outlets,ABNAH Cafe Connaught Place;ABNAH Cafe Hauz Khas;ABNAH Cafe Saket Premium,Cold Coffee;Shake;Desserts;Coffee Classics;Sandwiches,Classic Cold Coffee - Regular;Basque Cheesecake;Latte - Regular,15,Mixed,Medium,Calendar annotation,Approved,Shows corporate softness and leisure outlet upside on a public holiday.
EROW00003,EVT003,Connaught Place Corporate Townhall,Corporate event,2026-02-12,2026-02-12,Single outlet,ABNAH Cafe Connaught Place,Coffee Classics;Tea;Sandwiches;Wraps,Americano - Medium;Latte - Medium;Pesto Veg Sandwich;Shredded Chicken Wrap,32,Up,High,Admin manual event,Approved,Corporate office event drives coffee and lunch demand.
EROW00004,EVT004,Valentine/Social Cafe Weekend,Commercial social event,2026-02-13,2026-02-15,Selected outlets,ABNAH Cafe Hauz Khas;ABNAH Cafe Saket Premium,Cold Coffee;Shake;Desserts;Baked Goods,Mocha Cold Coffee - Regular;Mixed Berry Shake - Regular;Banoffee Pie;Chocolate Croissant,24,Up,Medium,Marketing calendar,Approved,Social cafe demand for cold beverages and desserts.
EROW00005,EVT005,Hauz Khas Student Fest,College event,2026-02-20,2026-02-22,Single outlet,ABNAH Cafe Hauz Khas,Cold Coffee;Iced Tea;Wraps;Desserts;Snacks,Classic Cold Coffee - Medium;Lemon Iced Tea - Regular;Spicy Paneer Wrap;Classic Chocolate Fudge Brownie,38,Up,High,Admin manual event,Approved,"Student and youth crowd increases cold coffee, wraps, brownies, and iced tea."
EROW00006,EVT006,Beverage Promotion Event,Promotion,2026-03-06,2026-03-08,All outlets,ABNAH Cafe Connaught Place;ABNAH Cafe Hauz Khas;ABNAH Cafe Saket Premium,Cold Coffee;Cold Brew;Iced Tea;Shake;Smoothie,Classic Cold Brew - Regular;Caramel Cold Coffee - Regular;Hibiscus Lime Iced Tea - Regular,22,Up,Medium,Marketing calendar,Approved,Cold beverage demand lift after Month 3 refresh.
EROW00007,EVT007,Local College Crowd Event,College event,2026-03-11,2026-03-11,Single outlet,ABNAH Cafe Hauz Khas,Cold Coffee;Wraps;Snacks;Desserts,Mocha Cold Coffee - Medium;Spicy Paneer Wrap;Turnover with Brioche Dough Veg;Death by Chocolate Cookie,30,Up,High,Admin manual event,Approved,Manual event explains a one-day Hauz Khas sales spike.
EROW00008,EVT008,Saket Dessert Weekend,Mall/leisure event,2026-03-14,2026-03-15,Single outlet,ABNAH Cafe Saket Premium,Desserts;Baked Goods;Shake;Signature Coffee,Basque Cheesecake;Banoffee Pie;Almond Croissant;Sea Salt Mocha - Medium,35,Up,High,Admin manual event,Approved,Premium mall weekend story for desserts and premium beverages.
EROW00009,EVT009,Corporate Bulk Order Day,Corporate bulk order,2026-03-18,2026-03-18,Single outlet,ABNAH Cafe Connaught Place,Coffee Classics;Tea;Sandwiches;Breakfast,Americano - Large;Cappuccino - Medium;Cream Cheese Bagel;Pepper Chicken Sandwich,34,Up,High,Admin manual event,Approved,Bulk order creates a visible weekday corporate demand spike.
EROW00010,EVT010,Premium Dessert Activation,Product activation,2026-03-21,2026-03-22,Single outlet,ABNAH Cafe Saket Premium,Desserts;Baked Goods,Double Chocolate Truffle Cake;Basque Cheesecake;Classic Chocolate Fudge Brownie;Apple Pie,28,Up,Medium,Marketing calendar,Approved,Supports competitor/contextual pricing demo around premium desserts.
EROW00011,EVT011,Connaught Place Book Fair Footfall,Local event,2026-03-27,2026-03-29,Single outlet,ABNAH Cafe Connaught Place,Coffee Classics;Cold Brew;Baked Goods,Flat White - Regular;Classic Cold Brew - Regular;Butter Croissant,16,Up,Medium,Admin manual event,Approved,Tourist and local footfall improves CP weekend beverage demand.
