source_name,source_table,validated_contract,model_role,pages,required_fields,production_decision,fallback_or_reconciliation
Gross/Net Margin Report,RAWN_CT_gross_net_margin,yes,primary,P3|P4,"sale_date,bill_number,item_code,item_name,item_qty,net_sale_value,purchase_value","Use as the item-sales and source-margin authority after total reconciliation",Bill Item Detail Report
Item Recipe Report,RAWN_CT_item_recipe_report,yes,primary,P1|P3|P4,"menu_item_number,ingredient_code,recipe_qty_per_menu_unit,recipe_unit","Use only after stable item identifiers and UOM conversion are approved",Recipe Consumption Report
Enterprise Variance Report - normal,RAWN_CT_enterprise_variance_normal,yes,primary,P3|P4,"opening_qty,purchase_qty,stock_in_qty,stock_out_qty,return_qty,closing_qty,actual_consumption_qty,average_price","Use as the month-end actual-consumption checkpoint; month-to-date remains provisional",Enterprise Consumption Detail plus movement bridge
Closing Stock Report,RAWN_CT_closing_stock,yes,primary,P1|P2|P4,"stock_date,item_code,total_qty,average_price,total_amt","Use source amount when quantity x cost reconciles",Enterprise Physical plus Enterprise Opening
Enterprise Purchase Order Report - item detail,RAWN_CT_enterprise_purchase_order,yes,primary_production_gate,P1|P2|P4,"po_number,po_date,expected_delivery_date,po_status,item_code,processed_qty,remaining_balance_qty,ordered_qty,unit_price,total_item_cost","Populated UAT source; publish PO risk only after receipt linkage, status semantics and closed-line eligibility are approved","Purchase Detail with PO details remains a sparse reconciliation fallback"
Enterprise Entry Report - Stock Entry,RAWN_CT_enterprise_entry,yes,primary,P1|P2|P4,"entry_date,transaction_number,po_number,batch_number,item_code,entry_qty,unit_price,total_amt","Use as GRN or accepted-receipt authority after PO-number coverage check",Purchase Detail
Enterprise Transfer Report - Transfer From,RAWN_CT_enterprise_transfer_from,yes,primary,P1|P3|P4,"transfer_date,transaction_number,item_code,transfer_qty,transfer_amt,receiver_store_kitchen_name","Pair with Transfer To and reconcile transaction totals",Stock In Stock Out Report
Enterprise Transfer Report - Transfer To,RAWN_CT_enterprise_transfer_to,yes,primary,P1|P3|P4,"transfer_date,transaction_number,item_code,transfer_qty,transfer_amt,supplier_store_name","Pair with Transfer From and reconcile transaction totals",Stock In Stock Out Report
Enterprise Wastage Report - normal,RAWN_CT_enterprise_wastage_normal,yes,primary,P2|P3|P4,"wastage_date,transaction_number,item_code,wastage_qty,unit_price,wastage_amt","Observed wastage loss authority",Gross Sale Wastage only if enterprise report is incomplete
Enterprise Stock Return,RAWN_CT_enterprise_stock_return,yes,unavailable_header_only,P2|P3|P4,"none","Header-only in current evidence; exclude return rate and vendor-return leakage until a populated source links vendor, item, value and original receipt","Bulk Return Report provides only internal item-return quantity and is not a vendor-return substitute"
Synthetic Outlet Reference,AUX_Outlet_Master,synthetic_demo_reference,required_demo_dimension,P1|P2|P3|P4,"outlet_code,outlet_name,region,city,market_area,latitude,longitude,new_matured_flag,active_status","Use for the three-outlet synthetic map and filters only; replace with an approved ABNAH outlet reference before production",Operational reports remain the authority for observed outlet identity
Derived Item Reference,DIM_CT_Item,derived_from_validated_reports,derived_dimension,P1|P2|P3|P4,"item_code,item_name,category_name,super_category_name,canonical_uom,baseline_average_price","Derive from Closing Stock and validate against Entry, Purchase Order and Item Recipe; shelf life, reorder, order quantity, criticality and approved vendor mapping remain null","Closing Stock Report|Enterprise Entry Report - Stock Entry|Enterprise Purchase Order Report - item detail|Item Recipe Report"
Vendor Report,RAWN_CT_vendor_report,historical_validated_contract,primary_quality_gated,P1|P2|P4,"vendor_name,vendor_code,description,from_date,to_date,state","Use only after local structural repair and validation; supports vendor identity, validity, compliance context, state and address but not lead time, SLA or approved vendor-item mapping","Enterprise Purchase Order Report - item detail|Enterprise Entry Report - Stock Entry provide transaction-only vendor fallback"
AUX Menu Demand Forecast,AUX_Menu_Demand_Forecast,synthetic_model_output,required_feature,P1,"forecast_as_of_month,forecast_date,outlet_code,menu_item_code,forecast_qty,forecast_net_sales","Replace with approved Zoho AutoML or Code Studio forecast and retain model version/confidence",Historical rolling baseline
AUX Theoretical Consumption,AUX_Theoretical_Consumption,synthetic_model_output,validation_reference,P3,"source_period_code,outlet_code,item_code,theoretical_qty,unit,average_price","Recalculate from validated sales and effective recipes in production",Recipe Consumption Report
AUX Expiry Estimate,AUX_Expiry_Estimate,synthetic_demo_batch_scenario,demo_only_feature,P1|P2|P4,"source_period_code,outlet_code,item_code,batch_allocation_id,batch_number,receipt_date,grn_number,po_number,vendor_name,receipt_source_status,item_closing_qty,batch_remaining_qty,qty_at_risk,unit,average_unit_cost,shelf_life_days_assumption,daily_theoretical_demand,estimated_expiry_date,expiry_risk_value,risk_status,is_estimated,production_use_status","Show only as a synthetic batch-linked FIFO/shelf-life scenario. A row represents one estimated near-expiry tranche, not the complete batch ledger; exact ABNAH expiry remains blocked while the module and batch evidence are unavailable","Expiry Report or populated batch-expiry evidence replaces this table in production"
Bill Item Detail Report,RAWN_CT_bill_item_detail,yes,reconciliation,P3|P4,"sale_date,bill_number,item_code,item_qty,net_sale_value","Reconcile item quantity and net sales against Gross/Net Margin",None
Purchase Detail - PO details enabled,RAWN_CT_purchase_detail,yes,fallback_and_reconciliation,P2|P4,"po_number,po_date,po_qty,po_unit_price,purchase_qty,purchase_amount,total_amt","Fallback for ordered-versus-received value only; cannot by itself support overdue PO or OTIF",Enterprise Purchase Order plus Enterprise Entry
Recipe Consumption Report,RAWN_CT_recipe_consumption,yes,reconciliation,P3|P4,"item_code,parent_item_qty,consumed_item_code,consumed_qty,consumed_subtotal","Compare model-derived theoretical consumption to source-reported recipe consumption",Item Recipe Report
Enterprise Consumption Detail,RAWN_CT_enterprise_consumption_detail,yes,reconciliation,P3|P4,"opening_qty,purchase_qty,indent_receive_qty,indent_dispatch_qty,stock_in_qty,stock_out_qty,closing_qty","Use for movement reconciliation and diagnosis",Enterprise Variance Normal
Enterprise Physical Report,RAWN_CT_enterprise_physical,yes,publication_gate,P3|P4,"physical_date,item_code,physical_qty,physical_amt","Use month-end physical counts to mark variance final",Closing Stock Report
Enterprise Stock Re-Order,RAWN_CT_enterprise_reorder,yes,unavailable_header_only,P1|P4,"none","Exclude from active calculations; use forecast-driven shortage and days cover without claiming source reorder levels","Re-Order Level only after a populated CSV is validated"
