page,section,report_name,report_folder,priority_domain,capture_method,schema_source_status,filters_count,headers_count,hscroll_count,vscroll_count,exports_count,notes_count,screenshot_required_rule,schema_template_path,next_action
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,1,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,1,0,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,3,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Daily Sales Tabwise,p1_main/01_sales_analysis/10_daily_sales_tabwise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Daily Sales Sourcewise,p1_main/01_sales_analysis/11_daily_sales_sourcewise,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,2,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
p1_main,01_sales_analysis,Daily Sales With Categories,p1_main/01_sales_analysis/12_daily_sales_with_categories,sales_revenue,screenshots_ocr_then_schema_index,screenshot_schema_and_filter_available,1,0,5,0,0,0,already screenshot-first; OCR headers/hscroll segments and preserve filter/context screenshots,,run OCR later and extract field list
