domain,filter_1,filter_2,filter_3,expected_measure,expected_value,expected_display,source_table,note
Sales category,ABNAH Cafe Connaught Place,Coffee Classics,Beverage,SUM(net_sale),207489.63,2.07L,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Signature Coffee,Beverage,SUM(net_sale),103761.82,1.04L,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Cold Coffee,Beverage,SUM(net_sale),57679.57,57.68K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Cold Brew,Beverage,SUM(net_sale),36219.65,36.22K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Tea,Beverage,SUM(net_sale),35140.35,35.14K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Sandwiches,Food,SUM(net_sale),30508.81,30.51K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Desserts,Dessert,SUM(net_sale),26092.73,26.09K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Shake,Beverage,SUM(net_sale),24222.55,24.22K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Iced Tea,Beverage,SUM(net_sale),19849.79,19.85K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Baked Goods,Food,SUM(net_sale),17320.75,17.32K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Breakfast,Food,SUM(net_sale),16637.66,16.64K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Baked Goods,Dessert,SUM(net_sale),14364.12,14.36K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Wraps,Food,SUM(net_sale),8917.83,8.92K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Snacks,Food,SUM(net_sale),8488.41,8.49K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Smoothie,Beverage,SUM(net_sale),7533.09,7.53K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Toasts,Food,SUM(net_sale),5800.27,5.80K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Kids Beverage,Beverage,SUM(net_sale),3653.96,3.65K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Platter,Food,SUM(net_sale),1536.69,1.54K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Connaught Place,Espresso,Beverage,SUM(net_sale),1131.89,1.13K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Coffee Classics,Beverage,SUM(net_sale),156970.49,1.57L,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Cold Coffee,Beverage,SUM(net_sale),94274.78,94.27K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Signature Coffee,Beverage,SUM(net_sale),80678.4,80.68K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Desserts,Dessert,SUM(net_sale),37924.78,37.92K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
Sales category,ABNAH Cafe Hauz Khas,Cold Brew,Beverage,SUM(net_sale),37143.8,37.14K,FACT_Sales,"Use FACT_Sales so outlet, date, category and item filters work."
